id,group,facility,start,duration,end_time,x,y,utility,DSSR_iterations,execution_time,cum_utility
6326580,home,home2781189,00:05:00,08:55:00,09:00:00,2569878,1192610,-18.5,0,0.005,0.0
6326580,education,377679,09:05:00,01:45:00,10:50:00,2577388,1184855,-18.5,0,0.005,-18.6
6326580,home,home2781189,10:55:00,06:05:00,17:00:00,2569878,1192610,-18.5,0,0.005,-18.5
6326580,home,home2781189,17:00:00,07:00:00,23:59:00,2569878,1192610,-18.5,0,0.005,-18.5
6326603,home,home2781212,00:00:00,00:05:00,00:05:00,2569595,1192087,-28.45,2,0.015,0.0
6326603,home,home2781212,00:05:00,09:20:00,09:25:00,2569595,1192087,-28.45,2,0.015,0.0
6326603,shop,377159,09:25:00,00:15:00,09:40:00,2577930,1184036,-28.45,2,0.015,-10.5
6326603,home,home2781212,09:40:00,02:45:00,12:25:00,2569595,1192087,-28.45,2,0.015,-10.5
6326603,work,81761,13:00:00,01:40:00,14:40:00,2561792,1185371,-28.45,2,0.015,-22.9
6326603,leisure,381922,15:15:00,00:15:00,15:30:00,2567712,1190524,-28.45,2,0.015,-28.45
6326603,home,home2781212,15:30:00,01:30:00,17:00:00,2569595,1192087,-28.45,2,0.015,-28.45
6326603,home,home2781212,17:00:00,07:00:00,23:59:00,2569595,1192087,-28.45,2,0.015,-28.45
6326604,home,home2781213,00:00:00,00:05:00,00:05:00,2569570,1192037,-29.94,1,0.01,0.0
6326604,home,home2781213,00:05:00,06:55:00,07:00:00,2569570,1192037,-29.94,1,0.01,0.0
6326604,shop,377159,07:00:00,00:15:00,07:15:00,2577930,1184036,-29.94,1,0.01,-10.5
6326604,home,home2781213,07:15:00,02:15:00,09:30:00,2569570,1192037,-29.94,1,0.01,-10.5
6326604,work,217533,10:30:00,02:15:00,12:45:00,2563648,1174083,-29.94,1,0.01,-22.4
6326604,home,home2781213,13:45:00,00:05:00,13:50:00,2569570,1192037,-29.94,1,0.01,-21.2
6326604,leisure,381922,13:50:00,02:55:00,16:45:00,2567712,1190524,-29.94,1,0.01,-29.94
6326604,home,home2781213,16:45:00,00:15:00,17:00:00,2569570,1192037,-29.94,1,0.01,-29.94
6326604,home,home2781213,17:00:00,07:00:00,23:59:00,2569570,1192037,-29.94,1,0.01,-29.94
6326629,home,home2781238,00:00:00,00:05:00,00:05:00,2571195,1191519,-23.4,6,0.04,0.0
6326629,home,home2781238,00:05:00,06:45:00,06:50:00,2571195,1191519,-23.4,6,0.04,0.0
6326629,work,128376,06:55:00,09:10:00,16:05:00,2569912,1192410,-23.4,6,0.04,-13.0
6326629,shop,377155,16:05:00,00:10:00,16:15:00,2577784,1183910,-23.4,6,0.04,-23.5
6326629,home,home2781238,16:20:00,00:40:00,17:00:00,2571195,1191519,-23.4,6,0.04,-23.4
6326629,home,home2781238,17:00:00,07:00:00,23:59:00,2571195,1191519,-23.4,6,0.04,-23.4
6326630,home,home2781239,00:00:00,00:05:00,00:05:00,2569379,1191923,-30.54,1,0.009,0.0
6326630,home,home2781239,00:05:00,09:30:00,09:35:00,2569379,1191923,-30.54,1,0.009,0.0
6326630,work,500156,10:20:00,05:05:00,15:25:00,2580716,1201001,-30.54,1,0.009,-12.2
6326630,leisure,375697,16:10:00,00:10:00,16:20:00,2569734,1192310,-30.54,1,0.009,-20.04
6326630,home,home2781239,16:20:00,00:30:00,16:50:00,2569379,1191923,-30.54,1,0.009,-20.04
6326630,shop,380332,16:50:00,00:10:00,17:00:00,2576304,1185284,-30.54,1,0.009,-30.54
6326630,home,home2781239,17:00:00,07:00:00,23:59:00,2569379,1191923,-30.54,1,0.009,-30.54
6326635,home,home2781244,00:00:00,00:05:00,00:05:00,2569878,1192610,-10.5,0,0.009,0.0
6326635,home,home2781244,00:05:00,15:55:00,16:00:00,2569878,1192610,-10.5,0,0.009,0.0
6326635,shop,381921,16:00:00,00:45:00,16:45:00,2567684,1190696,-10.5,0,0.009,-10.5
6326635,home,home2781244,16:45:00,00:15:00,17:00:00,2569878,1192610,-10.5,0,0.009,-10.5
6326635,home,home2781244,17:00:00,07:00:00,23:59:00,2569878,1192610,-10.5,0,0.009,-10.5
6326679,home,home2781288,00:00:00,00:05:00,00:05:00,2569933,1192690,-23.3,1,0.01,0.0
6326679,home,home2781288,00:05:00,05:55:00,06:00:00,2569933,1192690,-23.3,1,0.01,0.0
6326679,work,375045,06:10:00,04:15:00,10:25:00,2567904,1192932,-23.3,1,0.01,-12.9
6326679,shop,377155,10:30:00,00:15:00,10:45:00,2577784,1183910,-23.3,1,0.01,-23.3
6326679,home,home2781288,10:45:00,06:15:00,17:00:00,2569933,1192690,-23.3,1,0.01,-23.3
6326679,home,home2781288,17:00:00,07:00:00,23:59:00,2569933,1192690,-23.3,1,0.01,-23.3
6326681,home,home2781290,00:00:00,00:05:00,00:05:00,2569510,1191874,-25.862,8,0.069,0.0
6326681,home,home2781290,00:05:00,12:20:00,12:25:00,2569510,1191874,-25.862,8,0.069,0.0
6326681,work,516913,12:50:00,02:10:00,15:00:00,2563160,1196455,-25.862,8,0.069,-12.6
6326681,leisure,377159,15:25:00,00:10:00,15:35:00,2577930,1184036,-25.862,8,0.069,-15.362
6326681,home,home2781290,15:35:00,00:15:00,15:50:00,2569510,1191874,-25.862,8,0.069,-15.362
6326681,shop,380332,15:50:00,00:15:00,16:05:00,2576304,1185284,-25.862,8,0.069,-25.862
6326681,home,home2781290,16:05:00,00:55:00,17:00:00,2569510,1191874,-25.862,8,0.069,-25.862
6326681,home,home2781290,17:00:00,07:00:00,23:59:00,2569510,1191874,-25.862,8,0.069,-25.862
6326711,home,home2781320,00:00:00,00:05:00,00:05:00,2569782,1191956,-41.462,14,0.097,0.0
6326711,home,home2781320,00:05:00,07:05:00,07:10:00,2569782,1191956,-41.462,14,0.097,0.0
6326711,shop,377155,07:10:00,00:15:00,07:25:00,2577784,1183910,-41.462,14,0.097,-10.5
6326711,home,home2781320,07:25:00,02:45:00,10:10:00,2569782,1191956,-41.462,14,0.097,-10.5
6326711,leisure,381922,10:10:00,00:10:00,10:20:00,2567712,1190524,-41.462,14,0.097,-13.762
6326711,education,377679,10:20:00,00:35:00,10:55:00,2577388,1184855,-41.462,14,0.097,-32.462
6326711,home,home2781320,11:00:00,00:55:00,11:55:00,2569782,1191956,-41.462,14,0.097,-32.362
6326711,work,141165,13:35:00,02:35:00,16:10:00,2601120,1197505,-41.462,14,0.097,-43.462
6326711,home,home2781320,17:50:00,06:10:00,23:59:00,2569782,1191956,-41.462,14,0.097,-41.462
